rat,nb,ci,area,smin,smax,savg,qmin,qmax,qavg,sinr_min,sinr_max,sinr_avg,good,average,bad,signalQualityGood,averageQ,signalQualityBad,sinrGood,averageSinr,sinrBad
4G,8,0,0,-105,-98,-101,-11,-8,-10,0,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
4G,5,161295913,13,-94,-84,-87,-13,-13,-13,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0
4G,17,161295915,13,-92,-72,-82,-12,-8,-10,0,0,0,23.5,35.3,41.2,64.7,35.3,0.0,0.0,0.0,100.0
4G,10,161344288,59,-98,-93,-97,-16,-13,-15,0,0,0,0.0,0.0,100.0,0.0,10.0,90.0,0.0,0.0,100.0
4G,1,34419713,13,-57,-57,-57,-8,-8,-8,0,0,0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
4G,28,34419714,13,-84,-55,-67,-10,-7,-9,0,0,0,71.4,7.1,21.4,100.0,0.0,0.0,0.0,0.0,100.0
4G,1,35520604,3010,-129,-129,-129,-18,-18,-18,0,0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0
4G,1,84500365,10,-114,-114,-114,-20,-20,-20,0,0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0
4G,13,84553780,59,-110,-106,-108,-12,-11,-11,0,0,0,0.0,0.0,100.0,69.2,30.8,0.0,0.0,0.0,100.0
4G,100,84714529,59,-104,-98,-102,-15,-8,-11,0,0,0,0.0,0.0,100.0,50.0,43.0,7.0,0.0,0.0,100.0
4G,38,84714629,59,-103,-98,-100,-18,-11,-15,0,0,0,0.0,0.0,100.0,5.3,13.2,81.6,0.0,0.0,100.0
4G,36,84714639,59,-103,-100,-101,-18,-13,-15,0,0,0,0.0,0.0,100.0,0.0,19.4,80.6,0.0,0.0,100.0
4G,2,85579551,59,-91,-86,-89,-10,-9,-10,0,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
4G,4,85579561,59,-86,-78,-80,-11,-9,-10,0,0,0,0.0,75.0,25.0,100.0,0.0,0.0,0.0,0.0,100.0
